
   	Indicator					ASN							Location
1	xxl17z.dnslog.cn			N/A							N/A
2	mx01.bestfindthetruth.com	N/A							N/A
3	64.176.7.59					AS-CHOOPA					US
4	64.176.4.234				AS-CHOOPA					US
5	52.23.241.105				AMAZON-AES					US
6	23.224.42.5					CloudRadium L.L.C			US
7	192.74.254.229				PEG TECH INC				US
8	192.74.226.142				PEG TECH INC				US
9	155.94.160.72				QuadraNet Enterprises LLC	US
10	139.84.227.9				AS-CHOOPA					US
11	137.175.60.253				PEG TECH INC				US
12	137.175.53.170				PEG TECH INC				US
13	137.175.51.147				PEG TECH INC				US
14	137.175.30.36				PEG TECH INC				US
15	137.175.28.251				PEG TECH INC				US
16	137.175.19.25				PEG TECH INC				US
17	107.148.219.227				PEG TECH INC				US
18	107.148.219.55				PEG TECH INC				US
19	107.148.219.54				PEG TECH INC				US
20	107.148.219.53				PEG TECH INC				US
21	107.148.219.227				PEG TECH INC				US
22	107.148.149.156				PEG TECH INC				US
23	104.223.20.222				QuadraNet Enterprises LLC	US
24	103.93.78.142				EDGENAP LTD					JP
25	103.27.108.62				TOPWAY GLOBAL LIMITED		HK
